Node,Max_RRC
E49AB02X,326
E49ABX,545
E49AC01X,1368
E49AX,1916
E50AX,1122
E51AAX,310
E51AX,947
E52A50XMA,1042
E52AAX,2705
E52EA01X,1456
E52EX,1485
E53AX,2065
E54AA02X,127
E54AAX,1033
E54AB02X,99
E54ABX,527
E54ACX,1093
E54AX,1057
E54EX,1622
E55M02X,48
E55MX,496
E56AX,1152
E56Y01XMA,84
E56Y50XMA,1081
E57AB02X,90
E57ABX,872
E57AC02X,341
E57ACX,478
E57ADX,1389
E57AX,447
E57GX,497
E58AAX,1103
E58AX,1120
E59A02X,310
E59AX,318
E60AX,678
E60B01XMA,1226
E60EAX,1103
E60EX,2101
E60GAX,1823
E60GX,1414
E60K01XMA,1629
E61ABX,449
E61AX,1581
E61M02X,68
E61MX,1027
E62AX,1070
E62B01XMA,1227
E63AB01XMA,1169
E63D01X,677
E63D02X,37
E63EAX,3445
E63EX,1577
E65AX,403
E66AAX,728
E66AX,518
E66B02X,780
E66BX,974
E67AX,1079
E67BX,987
E67CX,709
E68AA02X,152
E68AAX,318
E68AX,1125
E68CX,1004
E70AA02X,37
E70AAX,420
E70ABX,810
E70AX,2248
E70CA01X,408
E70CA02X,39
E71AA50XMA,1689
E71AX,1327
E71CX,1033
E72AAX,1065
E72AX,1164
E72D02X,262
E72DA01X,608
E72DX,152
E73ABX,655
E73AX,1007
E74AB02X,93
E74ABX,216
E74AC50XMA,799
E74AX,1330
E74E02X,227
E74EA02X,271
E74EAX,429
E74EBX,904
E74EX,447
E74MX,1064
E75AX,980
E75EX,880
E76A02X,77
E76AX,575
E76FAX,1106
E76FB02X,210
E76FBX,881
E76FX,2510
E76GX,549
E77A02X,59
E77AX,776
E77C01XMA,740
E77FA01X,872
E77FX,1563
E77MX,1980
E78A02X,695
E78AX,747
E78FX,951
E78MX,800
E79AX,3620
E79FX,1058
E85GA50XMA,1015
E85GB01X,576
E85GX,963
E91AX,1467
E92AAX,1176
E92AX,713
E93AX,806
E94AX,686
E95AX,491
E96AAX,1055
E96AX,1367
E97AX,1501
E98AX,553
E99AA01X,1201
E99AA02X,443
EABAX,1888
EABBX,733
EABX,885
EACA02X,500
EACAX,430
EACBX,966
EACC01XMA,408
EACM02X,43
EACMX,413
EACX,887
EAEX,1607
EAFX,1657
EAG02X,201
EAGX,605
EALD02X,160
EALDX,74
EALIX,102
EALKX,309
EALX,182
EASL50XMA,114
EATX,160
EBA02X,103
EBAX,89
EBC02X,352
EBCX,263
EBEX,93
EBG01X,230
EBHPX,59
EBLSX,92
EBLX,136
EBLYX,120
EBNLKX,179
EBOX,178
EBOY01X,140
EBRX,164
EBS01X,207
EBTLX,77
EBTY01XSC,25
EBTYX,238
EBVX,178
EBZ02XMA,48
